X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,Zip_Code,Zip4,Proposed_new_category,Latitude,Longitude,ObjectId,NOTES,Store_Type
-7953111,5135273,1459966,El Salvador Market,128 Academy Ave,,2908,4523,Corner Store,41.82816,-71.444,158439,,Grocery Store
-7952519,5134992,1271702,Family Dollar 11705,332 Valley St,,2908,5617,Corner Store,41.82628,-71.4387,122678,,Other
-7953187,5133480,1303510,Family Dollar 11732,48 Plainfield St,,2909,3407,Corner Store,41.81615,-71.4447,145682,,Other
-7951291,5133096,1263014,Family Dollar 11780,250 Cranston St,,2907,2407,Corner Store,41.81358,-71.4277,156245,,Other
-7952753,5139343,1303075,Family Dollar 11977,1039 Branch Ave,,2904,1004,Corner Store,41.8554,-71.4408,145987,,Other
-7950428,5131755,1394038,Family Dollar 12469,711 Broad Street,,2907,,Corner Store,41.8046,-71.4199,140983,,Other
-7948869,5129883,868506,Family Dollar 2190,1280 Broad St,,2905,2933,Corner Store,41.79207,-71.4059,93032,,Other
-7952890,5135866,868502,Family Dollar 2868,1030 Chalkstone Ave,,2908,4550,Corner Store,41.83213,-71.442,93026,,Other
-7948490,5128997,868509,Family Dollar 6864,1515 Broad St,,2905,2835,Corner Store,41.78613,-71.4025,93141,,Other
-7951462,5136619,931775,Family Dollar 8177,541 Smith St,,2908,4350,Corner Store,41.83717,-71.4292,72260,,Other
-7955695,5136175,1030598,Family Dollar 8896,921 Manton Ave,,2909,5627,Corner Store,41.8342,-71.4672,118972,,Other
-7954228,5132730,1120722,Family Dollar Store 9082,151 Pocasset Ave,,2909,,Corner Store,41.81113,-71.454,110348,,Other
-7950517,5139146,1130601,Foodland Farms,638 Charles St,,2904,1351,Corner Store,41.85408,-71.4207,240754,,Grocery Store
-7951173,5133145,1382594,Garcia Mini Market Inc,208 Cranston St,,2907,2308,Corner Store,41.81391,-71.4266,155968,,Grocery Store
-7951814,5132636,794378,Gemmas Market,458 Cranston St,,2907,2705,Corner Store,41.8105,-71.4324,64877,small but has some produce bread probably milk and stuff too,Grocery Store
-7948980,5131465,1379014,Happy Mart,927 Eddy St,,2905,4730,Corner Store,41.80266,-71.4069,152042,bigger than convenience store (has canned stuff) but don't think it has any produce,Grocery Store
-7952551,5132447,1452712,Jesiah Mini Market,99 Union Ave,,2909,2246,Corner Store,41.80924,-71.439,172751,no info online - have to visit,Grocery Store
-7950555,5132470,1628673,Kb Mart,545 Broad St,,2907,1402,Corner Store,41.80939,-71.4211,410,- it is bigger than a convenience store and has more canned goods/dairy,Convenience Store
-7952705,5135860,1633643,La Chapincita Market Llc,996 Chalkstone Ave,,2908,4237,Corner Store,41.83209,-71.4404,224986,check about produce,Grocery Store
-7953508,5132110,1203488,La Esquina Market 1,274 Webster Ave,,2909,3830,Corner Store,41.80698,-71.4476,131829,good amount of produce,Grocery Store
-7949301,5132050,1610155,La Familia Market Llc,272 Public St,,2905,2218,Corner Store,41.80658,-71.4098,256688,,Grocery Store
-7954298,5132526,1289680,La Familia Meat Market LLC,196 Pocasset Ave,,2909,4604,Corner Store,41.80977,-71.4547,74191,,Grocery Store
-7949345,5130353,1431445,La Fortuna Market,692 Prairie Ave,,2905,1609,Corner Store,41.79522,-71.4102,166204,no info online - call or visit,Grocery Store
-7950818,5132770,1487109,La Gigante Meat Market NO,49 Elmwood Ave,,2907,2401,Corner Store,41.8114,-71.4234,196592,has good amount of fruit/produce lots of meat and other corner store stuff,Grocery Store
-7952442,5132168,1501661,La Ideal Meat Market NO,227 Waldo St,,2909,2320,Corner Store,41.80737,-71.438,190682,no info online - call or visit,Grocery Store
-7951017,5131796,1416381,La Mia Supermarket Llc,290 Elmwood Ave,,2907,1524,Corner Store,41.80488,-71.4252,183206,should call or visit,Grocery Store
-7953148,5135889,1571095,La Poblanita Market,273 Academy Ave,,2908,4144,Corner Store,41.83228,-71.4443,165476,meat and produce options,Grocery Store
-7953686,5134842,1514681,La Pulperia 504,955 Atwells Ave,,2909,3151,Corner Store,41.82527,-71.4492,183447,,Other
-7949989,5130907,1123985,Mi Quisqueya Supermarket,933 Broad St,,2907,1925,Corner Store,41.79892,-71.416,239385,,Supermarket
-7953607,5134830,1404835,Miami Mart,935 Atwells Ave,,2909,3121,Corner Store,41.8252,-71.4485,175455,they have more canned goods and produce than a convenience store,Convenience Store
-7953311,5132789,1391991,Mini Meat Market Grocery Llc,58 Sterling Ave,,2909,3530,Corner Store,41.81153,-71.4458,164117,no info - have to visit or call,Grocery Store
-7952730,5134062,1492387,Mom Vonyee Variety Shop,114 Valley St,,2909,2408,Corner Store,41.82005,-71.4406,186568,,Grocery Store
-7949037,5129937,1190287,New Stop Food Market,1258 Broad St,,2905,2932,Corner Store,41.79243,-71.4074,237372,address is different store no info on this one,Grocery Store
-7954725,5133869,702589,PANADERIA EL QUETZAL,445 Hartford Ave,,2909,5131,Corner Store,41.81876,-71.4585,41637,lots of prepared food and then other stuff byut minimal supply,Grocery Store
-7947820,5129767,1635940,Portuguese & Latino Market LLC,892-896 Allens,,2905,,Corner Store,41.79129,-71.3965,238,could maybe be grocery - lots of produce but unclear about refrigerated section,Convenience Store
